bin	freq	count
0	0.005	0
1	0.015	2558922
2	0.025	1449462
3	0.035	998491
4	0.045	805588
5	0.055	592138
6	0.065	485447
7	0.075	411252
8	0.085	360484
9	0.095	334519
10	0.105	279748
11	0.115	250125
12	0.125	227739
13	0.135	224026
14	0.145	191376
15	0.155	177703
16	0.165	165598
17	0.175	152289
18	0.185	155501
19	0.195	135017
20	0.205	128427
21	0.215	120172
22	0.225	114290
23	0.235	116287
24	0.245	101992
25	0.255	99496
26	0.265	94214
27	0.275	96696
28	0.285	84614
29	0.295	83890
30	0.305	79138
31	0.315	76759
32	0.325	78143
33	0.335	70916
34	0.345	69127
35	0.355	66522
36	0.365	68771
37	0.375	62113
38	0.385	59246
39	0.395	57916
40	0.405	56146
41	0.415	58593
42	0.425	53483
43	0.435	52732
44	0.445	51117
45	0.455	53085
46	0.465	48813
47	0.475	46637
48	0.485	45818
49	0.495	45887
50	0.505	47084
51	0.515	42302
52	0.525	41758
53	0.535	41808
54	0.545	43082
55	0.555	39143
56	0.565	39337
57	0.575	38397
58	0.585	37067
59	0.595	40019
60	0.605	36705
61	0.615	35017
62	0.625	35441
63	0.635	36979
64	0.645	34124
65	0.655	34157
66	0.665	33717
67	0.675	33556
68	0.685	35341
69	0.695	32486
70	0.705	33187
71	0.715	32176
72	0.725	32471
73	0.735	33882
74	0.745	31730
75	0.755	30964
76	0.765	30356
77	0.775	34302
78	0.785	30810
79	0.795	30830
80	0.805	31565
81	0.815	31550
82	0.825	32890
83	0.835	31158
84	0.845	32083
85	0.855	31744
86	0.865	35462
87	0.875	32573
88	0.885	33973
89	0.895	34876
90	0.905	36086
91	0.915	40088
92	0.925	37830
93	0.935	40811
94	0.945	43497
95	0.955	51700
96	0.965	54291
97	0.975	65435
98	0.985	91571
99	0.995	0
